,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn
0,Vanuatu,Very High,Very High,High,High,1.6406751871646796,56.33,0.8012525867378264,0.7927082417314734,0.5415563239102934,0.9262423088436061,2011.0,0.5637583892617449
1,Tonga,Very High,Very High,Medium,Medium,1.2925697980405444,56.04,0.37645922884829136,0.03052774723644946,0.707654887161164,0.1857358153666772,2011.0,0.560853450866473
2,Philippinen,Very High,Very High,High,High,0.7251103280984613,45.09,0.5520866252873455,0.5928682340285099,0.773824233496877,0.10666059470618194,2011.0,0.4511669838725834
3,Salomonen,Very High,Very High,Very High,High,0.6285468468688212,36.4,1.475211906077841,1.4405616620522437,0.9878618129705605,1.731821119322401,2011.0,0.3641190023039166
4,Guatemala,Very High,Very High,High,High,0.3150135683083841,38.42,0.5884233279988741,0.6272593051215778,0.4396015147603682,0.5893489208212879,2011.0,0.3843534007813282
5,Bangladesch,Very High,Very High,Very High,High,-0.09389104973811703,27.52,1.3722579150618441,1.5195681767255085,1.024322473196361,1.3224421123612957,2011.0,0.2751677852348993
6,Timor-Leste,Very High,Very High,Very High,Very High,-0.09389104973811703,25.97,1.6975579202888609,2.212966529034396,1.2046001820905992,1.4179913373260604,2011.0,0.2596413903636181
7,Costa Rica,Very High,Very High,Low,Low,-0.1785331135319993,42.39,-0.6963386607301668,-0.6182551614922417,-0.5353835475740126,-0.788701539230883,2011.0,0.4241210057097065
8,Kambodscha,Very High,Very High,High,High,-0.19760738142921222,26.66,1.2658432856923683,1.8281583281552012,1.0202712887268284,0.7491467625727056,2011.0,0.2665531403385756
9,El Salvador,Very High,Very High,Medium,Medium,-0.20833665712139443,32.18,0.31935869601588984,0.1801753809116919,0.2721525566863191,0.4204903767025224,2011.0,0.3218471401382349
10,Nicaragua,Very High,Very High,High,High,-0.2977472878895796,27.64,0.8124996613866324,1.1728690005710642,0.7886785765518329,0.3191752502312632,2011.0,0.2763698287088049
13,Brunei Darussalam,Very High,Very High,Low,Very Low,-0.7471847252176581,36.28,-0.7992926517461638,-0.6275500455714494,-1.0417816062656924,-0.45510295206941925,2011.0,0.3125313032154663
20,Jamaika,Very High,Very High,Medium,Medium,1.1065956860427189,28.11,0.42490816579699614,0.47668218303841475,0.6178536314198395,0.03664607641303506,2011.0,0.5249924872282881
24,Chile,Very High,Very High,Low,Low,-0.15469027866048288,31.25,-0.6747096710209237,-0.6535757209932308,-0.4874445313512007,-0.7524587297614896,2011.0,0.4263247520785335
25,Mauritius,Very High,Very High,Low,Low,-0.1594588456347864,29.59,1.1741363693251772,1.3810744039453149,1.0317496447238388,0.8702306942090887,2011.0,0.276469998998297
34,Japan,Very High,High,Very Low,Very Low,-2.1622569748421387,39.57,-0.959347175594563,-1.7763977177615098,-1.0242264735643811,0.08359698868020408,2011.0,0.0023039166583191
68,Niederlande,Very High,Medium,Very Low,Very Low,-2.164641258329291,29.24,-1.4922854820303133,-1.8256606033813103,-1.7932763253641455,-0.4575740527150598,2011.0,0.0023039166583191
172,Katar,Very Low,Very Low,Very Low,Very Low,-2.1622569748421387,0.05,-0.9835716440689154,-1.7661733452743815,-1.074866279433549,0.06794668459114794,2011.0,0.0023039166583191
